Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2019-06-16,13.9949724693,13.5031229914,14.4703047276,7.2089096542
NEO,2019-06-17,14.0987464528,13.9957613725,14.5799913777,8.7138299356
NEO,2019-06-18,14.1382711016,14.0987378587,14.745179209,13.9328760382
NEO,2019-06-19,13.5836181518,14.2315578676,14.2636603446,13.2751390972
NEO,2019-06-20,13.7348091316,13.5826482296,13.981970002,1.1461099216
NEO,2019-06-21,13.5794212656,13.7370846761,13.8209850226,1.2703388987
NEO,2019-06-22,13.8630688687,13.5800931537,14.0106772794,1.9000082546
NEO,2019-06-23,17.0971262894,14.0623350529,19.0915014954,13.8936517346
NEO,2019-06-24,16.9971560881,17.0997016864,18.7659251279,16.7696290152
NEO,2019-06-25,17.895363635,16.9970836715,18.3429960824,10.9246278544
NEO,2019-06-26,19.122962812,17.8969051324,19.6283417981,17.1865211906
NEO,2019-06-27,18.5424249758,19.1256097054,20.9157269123,17.0142212558
NEO,2019-06-28,17.0750239614,18.5379211435,20.0732626108,15.8108737336
NEO,2019-06-29,18.021884166,17.0716230109,18.6881750143,16.7459828063
NEO,2019-06-30,18.2991661286,18.1512018438,18.9948433666,17.2152235474
NEO,2019-07-01,16.8986679658,18.2997786717,18.5934033287,16.7079406239
NEO,2019-07-02,16.7879845906,16.8863407908,17.2337043206,15.427104251
NEO,2019-07-03,17.7670242425,16.787563661,18.2775536579,16.0843633312
NEO,2019-07-04,17.7981410707,17.7216697128,18.1450269065,17.2736461116
NEO,2019-07-05,17.5172908484,17.7981139762,18.0435816669,17.4222805156
NEO,2019-07-06,16.9123879119,16.9793217007,17.5314721037,16.7111223028
NEO,2019-07-07,16.8620990175,16.9141166318,17.4898435629,16.7641110152
NEO,2019-07-08,17.1294204793,16.8605920181,17.2074165899,16.5467667214
NEO,2019-07-09,17.6002339572,17.1311921968,17.7373890925,16.8684030816
NEO,2019-07-10,17.2856453131,17.5986290505,18.0002023054,17.0802375466
NEO,2019-07-11,16.1498614917,17.278490411,17.4450947971,15.4813965099
NEO,2019-07-12,14.5582375347,16.1512422804,16.2846731521,14.2175915483
NEO,2019-07-13,15.378035538,14.5609101288,15.5765883675,14.3015085887
NEO,2019-07-14,14.0438386163,15.378213036,15.4241374257,13.5217656093
NEO,2019-07-15,12.5994557888,14.1819180142,14.3229349704,12.3170089393
NEO,2019-07-16,12.3715991319,12.595390229,12.6076677871,11.2353245246
NEO,2019-07-17,10.2838846669,12.3711184383,12.5834340357,10.2020269559
NEO,2019-07-18,10.8454886754,10.285742711,11.3373013211,9.7430043172
NEO,2019-07-19,13.1014537183,10.7972282539,13.5043764855,10.5629163465
NEO,2019-07-20,13.0461962493,13.1025845167,13.2839178804,12.204168919
NEO,2019-07-21,13.6669183723,12.9959181719,13.9192782737,12.8108486517
NEO,2019-07-22,12.8627707475,13.6647283448,13.7730094006,12.4837961436
NEO,2019-07-23,11.9892002429,12.8625344537,13.1391468729,11.6360199198
NEO,2019-07-24,11.507849986,11.989146762,12.0805017878,11.1644132586
NEO,2019-07-25,11.7745311257,11.226969178,12.056136778,10.8261178845
NEO,2019-07-26,11.9509067132,11.7735462003,12.3887004311,11.7300607811
NEO,2019-07-27,11.8852329084,11.9498778625,12.1239401766,11.6211176995
NEO,2019-07-28,11.3232290339,11.8844170318,12.3670807004,11.0396874484
NEO,2019-07-29,11.1243531459,11.3547330368,11.4857258099,10.5601818914
NEO,2019-07-30,11.2670418198,11.2416268115,11.5386624998,10.9304249952
NEO,2019-07-31,11.2325764542,11.2671148584,11.4248831899,11.0051299893
NEO,2019-08-01,11.6717742093,11.2327734004,12.0030117738,11.2173767522
NEO,2019-08-02,11.77362575,11.6714082788,11.8028534196,11.3275537964
NEO,2019-08-03,11.6535401946,11.7742571121,11.9729882137,11.4828647003
