Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-08-28,1.1831673555,1.1914016654,1.228779382,1.1693064625
LSK,2019-08-29,1.1068403571,1.1845487519,1.2199037007,1.096517497
LSK,2019-08-30,1.1156360898,1.1068200093,1.1350166505,1.0762078037
LSK,2019-08-31,1.0984901144,1.115314607,1.1400583508,1.0839147026
LSK,2019-09-01,1.1060684801,1.1029452474,1.1222664187,1.0837044074
LSK,2019-09-02,1.1200661963,1.1060339293,1.1343786527,1.0932121518
LSK,2019-09-03,1.1320332477,1.1201787936,1.1528168952,1.0851586692
LSK,2019-09-04,1.1451972689,1.1326650346,1.1635129261,1.1231929985
LSK,2019-09-05,1.0994378482,1.1452971325,1.145419842,1.0788484357
LSK,2019-09-06,1.0329581973,1.0996845022,1.1042856608,1.0158576048
LSK,2019-09-07,1.011532913,1.0329609504,1.0659888435,0.9886078846
LSK,2019-09-08,1.0606509478,1.0112939987,1.0675754653,1.002813995
LSK,2019-09-09,1.0604679448,1.0643968557,1.1027923333,1.0427710863
LSK,2019-09-10,1.048577576,1.0602724618,1.0728403204,1.0202979191
LSK,2019-09-11,0.9955645469,1.048577576,1.0646511473,0.989212548
LSK,2019-09-12,0.9624457331,1.0021151577,1.0174397069,0.9437018
LSK,2019-09-13,0.9450053854,0.9625165483,1.0011671234,0.9043230461
LSK,2019-09-14,0.9111190704,0.9450085832,0.9641115979,0.894337731
LSK,2019-09-15,0.9671380457,0.9104666939,0.9789106051,0.9076198158
LSK,2019-09-16,0.9533972498,0.9667240954,0.9747433842,0.9441101787
LSK,2019-09-17,0.9387452411,0.9533944833,0.9689600719,0.9187289175
LSK,2019-09-18,0.9813705426,0.9387358953,0.9944546904,0.9272001754
LSK,2019-09-19,1.037387782,0.9813730307,1.0646141741,0.9726922203
LSK,2019-09-20,0.990078333,1.0378891735,1.0378891735,0.9447779334
